subID,event,group,AlphabetKnowledge_Upper,AlphabetKnowledge_Lower,Decoding,PhonemeMatching,PhonemeSegmenting,EVTRaw,Retell,Grammar,PDE,SWE,WJ_BRS,Age,AlphabetKnowledge,visit
1966,Visit 3,Language,45,45,1,13,2,114,19,13,NaN,NaN,NaN,74.561979851073,90,post
1966,Visit 4,Language,52,52,20,17,4,118,13,9,125,126,132,83.7867298145715,104,oneyear
2085,Visit 2,Letter,30,22,0,10,0,71,NaN,NaN,NaN,NaN,NaN,60.9533782303986,52,pre
2085,Visit 3,Letter,43,33,8,8,0,72,NaN,NaN,NaN,NaN,NaN,61.9080796466637,76,post
2090,Visit 2,Letter,45,38,0,14,2,85,NaN,NaN,NaN,NaN,NaN,60.371860855599,83,pre
2090,Visit 3,Letter,45,47,3,12,2,95,NaN,NaN,NaN,NaN,NaN,61.421740400058,92,post
2091,Visit 2,Letter,37,30,0,12,1,72,NaN,NaN,NaN,NaN,NaN,61.127057782158,67,pre
2091,Visit 3,Letter,43,37,3,10,2,81,NaN,NaN,NaN,NaN,NaN,62.04943239889,80,post
2106,Visit 2,Letter,24,23,0,9,1,79,NaN,NaN,NaN,NaN,NaN,60.696794240035,47,pre
2106,Visit 3,Letter,25,29,2,5,2,91,NaN,NaN,NaN,NaN,NaN,61.6516781646956,54,post
2110,Visit 2,Letter,10,10,0,12,1,77,NaN,NaN,NaN,NaN,NaN,63.328565301504,20,pre
2110,Visit 3,Letter,20,25,5,9,2,74,NaN,NaN,NaN,NaN,NaN,64.175860527084,45,post
2116,Visit 2,Letter,46,41,0,13,3,83,NaN,NaN,NaN,NaN,NaN,62.1459565265,87,pre
2116,Visit 3,Letter,48,48,12,14,6,93,NaN,NaN,NaN,NaN,NaN,63.056354029785,96,post
2118,Visit 2,Letter,28,22,0,11,0,87,NaN,NaN,NaN,NaN,NaN,61.422949518178,50,pre
2118,Visit 3,Letter,36,32,0,13,1,72,NaN,NaN,NaN,NaN,NaN,62.336472477734,68,post
2135,Visit 2,Letter,43,42,0,10,1,76,NaN,NaN,NaN,NaN,NaN,61.48853847277,85,pre
2135,Visit 3,Letter,49,49,18,12,2,80,NaN,NaN,NaN,NaN,NaN,62.435460468682,98,post
2136,Visit 2,Letter,37,18,0,7,0,68,NaN,NaN,NaN,NaN,NaN,62.0782687253614,55,pre
2136,Visit 3,Letter,41,36,0,8,1,75,NaN,NaN,NaN,NaN,NaN,62.9933658198277,77,post
2171,Visit 2,Letter,18,8,0,11,0,94,NaN,NaN,NaN,NaN,NaN,61.5551768506351,26,pre
2171,Visit 3,Letter,19,24,0,10,1,87,NaN,NaN,NaN,NaN,NaN,62.0780634034166,43,post
2172,Visit 2,Letter,18,10,0,6,0,82,NaN,NaN,NaN,NaN,NaN,61.5552681048328,28,pre
2172,Visit 3,Letter,31,33,0,13,2,89,NaN,NaN,NaN,NaN,NaN,62.0781546576142,64,post
2173,Visit 2,Letter,32,32,0,6,0,79,NaN,NaN,NaN,NaN,NaN,60.3378458534093,64,pre
2173,Visit 3,Letter,41,32,1,6,2,70,NaN,NaN,NaN,NaN,NaN,61.2569125054752,73,post
2174,Visit 2,Letter,15,5,0,11,1,83,NaN,NaN,NaN,NaN,NaN,61.0627235727843,20,pre
2174,Visit 3,Letter,18,15,0,10,0,89,NaN,NaN,NaN,NaN,NaN,61.6855334720397,33,post
2186,Visit 2,Letter,33,20,0,10,0,76,NaN,NaN,NaN,NaN,NaN,60.5021946634545,53,pre
2186,Visit 3,Letter,40,34,4,8,2,78,NaN,NaN,NaN,NaN,NaN,61.1926467367499,74,post
2212,Visit 2,Letter,34,29,0,9,2,90,NaN,NaN,NaN,NaN,NaN,59.8771262228062,63,pre
2212,Visit 3,Letter,41,40,0,9,1,91,NaN,NaN,NaN,NaN,NaN,60.8615765075193,81,post
2213,Visit 2,Letter,34,26,0,9,1,69,NaN,NaN,NaN,NaN,NaN,189.15062874142,60,pre
2213,Visit 3,Letter,36,31,1,7,1,79,NaN,NaN,NaN,NaN,NaN,189.77368958972,67,post
2244,Visit 2,Letter,36,29,0,5,1,73,NaN,NaN,NaN,NaN,NaN,61.5506141407505,65,pre
2244,Visit 3,Letter,42,43,0,8,1,81,NaN,NaN,NaN,NaN,NaN,62.2429141115491,85,post
2259,Visit 2,Letter,42,35,0,13,2,86,NaN,NaN,NaN,NaN,NaN,0.252112534676595,77,pre
2259,Visit 3,Letter,48,48,12,14,3,95,NaN,NaN,NaN,NaN,NaN,0.969530223390276,96,post
