# {"exp_name": "ShowImages", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 24414, "stim_db": 65, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": null, "full_screen": true, "force_quit": ["lctrl", "rctrl"], "participant": "ttt", "monitor": null, "trigger_controller": null, "session": "1", "check_rms": "windowed", "suppress_resamp": false, "version": "dev", "enable_video": false, "verbose": null, "date": "2019-01-09 12_05_31.687140", "file": "/home/sjjoo/git/SSWEF/expcode/r21_event_related.py", "version_used": "2.0.0.dev0+4c31ad2"}
timestamp	event	value
36.2049582005	flip	36.204955101
36.2382900715	flip	36.2382872105
36.2716171741	flip	36.2716140747
36.3049511909	flip	36.3049490452
36.338283062	flip	36.3382811546
36.3716161251	flip	36.3716130257
36.3717591763	dotcolorFix	r
36.4049510956	flip	36.4049482346
36.4382891655	flip	36.4382860661
36.4716131687	flip	36.4716100693
36.5049600601	flip	36.5049571991
36.538285017	flip	36.538282156
36.5716001987	flip	36.5715970993
36.6049511433	flip	36.6049480438
36.6382842064	flip	36.6382811069
36.6716182232	flip	36.6716160774
36.7049531937	flip	36.7049500942
36.7050430775	imnumber	113
36.705078125	imtype	3
36.7382941246	flip	36.7382910252
36.7715492249	flip	36.7715461254
36.8048760891	flip	36.8048741817
36.8382120132	flip	36.8382091522
36.8714721203	flip	36.8714702129
36.8716151714	dotcolorFix	g
36.9047820568	flip	36.9047791958
36.9381120205	flip	36.9381101131
36.9714581966	flip	36.9714550972
37.0047831535	flip	37.0047810078
37.0381131172	flip	37.0381100178
37.0715370178	flip	37.0715351105
37.104845047	flip	37.104842186
37.1381981373	flip	37.1381950378
37.1715450287	flip	37.1715421677
37.2048811913	flip	37.2048790455
37.2382102013	flip	37.2382071018
37.2715411186	flip	37.2715392113
37.3048830032	flip	37.3048801422
37.3382081985	flip	37.3382050991
37.37154603	flip	37.371543169
37.3716900349	dotcolorFix	b
37.4048771858	flip	37.4048740864
37.4382200241	flip	37.4382171631
37.4715452194	flip	37.47154212
37.5048840046	flip	37.5048811436
37.5382070541	flip	37.5382041931
37.5715420246	flip	37.5715391636
37.6048791409	flip	37.6048760414
37.638212204	flip	37.6382091045
37.6715400219	flip	37.6715371609
37.704870224	flip	37.7048671246
37.7382040024	flip	37.7382011414
37.7715351582	flip	37.7715330124
37.8048732281	flip	37.8048701286
37.8382091522	flip	37.8382060528
37.8383541107	dotcolorFix	r
37.8714671135	flip	37.8714640141
37.9047632217	flip	37.9047601223
37.9381091595	flip	37.93810606
37.9714951515	flip	37.9714920521
38.0048701763	flip	38.0048670769
38.0382010937	flip	38.0381991863
38.0715281963	flip	38.0715260506
38.1048650742	flip	38.1048631668
38.1381971836	flip	38.1381940842
38.1715300083	flip	38.1715271473
38.2048680782	flip	38.2048652172
38.2382051945	flip	38.238202095
38.2715320587	flip	38.2715291977
38.304872036	flip	38.3048701286
38.3381941319	flip	38.3381910324
38.338337183	dotcolorFix	c
38.3715322018	flip	38.3715291023
38.4048662186	flip	38.4048631191
38.4382030964	flip	38.438201189
38.4715301991	flip	38.4715270996
38.5048561096	flip	38.5048530102
38.5381970406	flip	38.5381941795
38.5715281963	flip	38.5715250969
38.6048591137	flip	38.6048560143
38.6381962299	flip	38.6381931305
38.671528101	flip	38.6715250015
38.7048640251	flip	38.7048611641
38.7381911278	flip	38.7381892204
38.7715330124	flip	38.771531105
38.7716770172	dotcolorFix	y
38.8048641682	flip	38.8048610687
38.8382060528	flip	38.8382031918
38.8714630604	flip	38.871461153
38.9047720432	flip	38.9047691822
38.9380931854	flip	38.938090086
38.971432209	flip	38.9714291096
39.0047671795	flip	39.00476408
39.0380921364	flip	39.0380890369
39.0715210438	flip	39.0715181828
39.1048531532	flip	39.1048500538
39.104940176	imnumber	121
39.1049730778	imtype	3
39.1382050514	flip	39.1382021904
39.1715321541	flip	39.1715290546
39.2048811913	flip	39.2048780918
39.2381970882	flip	39.2381942272
39.2715361118	flip	39.2715330124
39.3048701286	flip	39.3048670292
39.338201046	flip	39.3381991386
39.3715260029	flip	39.3715231419
39.371669054	dotcolorFix	r
39.4048831463	flip	39.4048800468
39.4381971359	flip	39.4381940365
39.4715330601	flip	39.4715311527
39.5048651695	flip	39.5048620701
39.5381932259	flip	39.5381910801
39.5715351105	flip	39.571532011
39.6048650742	flip	39.6048622131
39.6381940842	flip	39.6381912231
39.671544075	flip	39.6715421677
39.704873085	flip	39.704870224
39.7382090092	flip	39.7382071018
39.7383542061	dotcolorFix	g
39.7715032101	flip	39.7715010643
39.8048620224	flip	39.8048591614
39.8381991386	flip	39.8381960392
39.8714652061	flip	39.8714630604
39.904774189	flip	39.9047710896
39.93810606	flip	39.938103199
39.9714531898	flip	39.9714500904
40.004776001	flip	40.00477314
40.038105011	flip	40.03810215
40.0715260506	flip	40.0715231895
40.1048681736	flip	40.1048650742
40.1381912231	flip	40.1381881237
40.171541214	flip	40.1715381145
40.2048611641	flip	40.2048580647
40.2381880283	flip	40.2381851673
40.2715229988	flip	40.2715201378
40.2716681957	dotcolorFix	b
40.3048601151	flip	40.3048570156
40.3381950855	flip	40.3381931782
40.3715250492	flip	40.3715221882
40.4048571587	flip	40.4048540592
40.4381902218	flip	40.4381871223
40.4715180397	flip	40.4715151787
40.5048620701	flip	40.5048592091
40.5382010937	flip	40.5381982327
40.5715281963	flip	40.5715250969
40.6048440933	flip	40.6048412323
40.6381862164	flip	40.6381831169
40.6715111732	flip	40.6715080738
40.7048680782	flip	40.7048652172
40.7050130367	dotcolorFix	y
40.7381920815	flip	40.7381901741
40.7715330124	flip	40.7715301514
40.8048610687	flip	40.8048582077
